Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Cruella,2021,Adventure Comedy Crime ,7.3,EmmaStone EmmaThompson JoelFry ,CraigGillespie,A live-action prequel feature film following a young Cruella de Vil.,"https://m.media-amazon.com/images/M/MV5BOWI5YTUxOWEtZmRiZS00ZmQxLWE2NzctYTRiODA2NzE1ZjczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Taylor Swift: The Eras Tour,2023,Documentary Music ,8.1,TaylorSwift MikeMeadows MaxBernstein ,SamWrench,"Experience the Eras Tour concert, performed by the one and only Taylor Swift.","https://m.media-amazon.com/images/M/MV5BMTU1Y2EzYTQtNDE2Zi00YmY0LTlhOTMtNjA1NzVlZTczMTFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Singin' in the Rain,1952,Comedy Musical Romance ,8.3,GeneKelly DonaldO'Connor DebbieReynolds ,StanleyDonen,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Untitled Paul Thomas Anderson Event Film,2025,Crime Drama Thriller ,,,,Plot under wraps,"https://m.media-amazon.com/images/M/MV5BMjM1OTNlNzUtYTdlZi00ODI2LWFkZWUtZmEzYzY0MDI2ODcwXkEyXkFqcGdeQXVyMTM1ODY4MjU0._V1_QL75_UY107_CR7,0,72,107_.jpg"
Scream,1996,Horror Mystery ,7.4,NeveCampbell CourteneyCox DavidArquette ,WesCraven,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.","https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Greenland,2020,Action Thriller ,6.4,GerardButler MorenaBaccarin RogerDaleFloyd ,RicRomanWaugh,A family struggles for survival in the face of a cataclysmic natural disaster.,"https://m.media-amazon.com/images/M/MV5BMzcyMzU4MDUtM2JhOC00ZDg2LTg5MGMtZjc2OGMyMjhlMGE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Players,2024,Comedy Romance ,5.7,GinaRodriguez DamonWayansJr. TomEllis ,TrishSie,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment.","https://m.media-amazon.com/images/M/MV5BYTNiYzY1MmYtOGY5Zi00ODk3LTg2OGQtZTUyOTA1NzljOWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Robe,1953,Drama History Romance ,6.7,RichardBurton JeanSimmons VictorMature ,HenryKoster,"In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.","https://m.media-amazon.com/images/M/MV5BNDA1MDYwMTAtYmM5ZC00M2VkLTljOWYtY2JiMWMyMDY5Y2NjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX72_CR0,2,72,107_.jpg"
French Girl,2024,Comedy ,5.2,ZachBraff EvelyneBrochu LucPicard ,JamesA.Woods,"Follows Gordon Kinski, a high school teacher from Brooklyn, who goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins.","https://m.media-amazon.com/images/M/MV5BZTQwYTlmNjktZmUzNC00YTRhLWI4MGUtMDhlYzY2ZmIzMjlhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Annihilation,2018,Adventure Drama Horror ,6.8,NataliePortman JenniferJasonLeigh TessaThompson ,AlexGarland,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_QL75_UX72_CR0,3,72,107_.jpg"
Zootopia,2016,Animation Action Comedy ,8,GinniferGoodwin JasonBateman IdrisElba ,ByronHoward,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Pianist,2002,Biography Drama Music ,8.5,AdrienBrody ThomasKretschmann FrankFinlay ,RomanPolanski,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY107_CR2,0,72,107_.jpg"
Love Actually,2003,Comedy Drama Romance ,7.6,HughGrant MartineMcCutcheon LiamNeeson ,RichardCurtis,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","https://m.media-amazon.com/images/M/MV5BNThkNjgxNGQtOTIxMy00ZTFmLWIwMDItYzE5YzM3ZDMzNDE3XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UY107_CR1,0,72,107_.jpg"
