Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
The Outsiders,1983,Crime Drama ,7,C.ThomasHowell MattDillon RalphMacchio ,FrancisFordCoppola,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other.","https://m.media-amazon.com/images/M/MV5BY2E4Njk4N2UtZWFhOS00NzczLWFmNDgtMzdhMjFlNTZjMmVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Baby Driver,2017,Action Crime Drama ,7.5,AnselElgort JonBernthal JonHamm ,EdgarWright,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Freelance,2023,Action Comedy ,5.5,JohnCena AlisonBrie JuanPabloRaba ,PierreMorel,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle.","https://m.media-amazon.com/images/M/MV5BZmM2ZGU1NGUtNjhiYy00YzEwLWE0MDctNGRlZmZiY2E5ZTY0XkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Shutter Island,2010,Drama Mystery Thriller ,8.2,LeonardoDiCaprio EmilyMortimer MarkRuffalo ,MartinScorsese,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Uncharted,2022,Action Adventure ,6.3,TomHolland MarkWahlberg AntonioBanderas ,RubenFleischer,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.","https://m.media-amazon.com/images/M/MV5BMWEwNjhkYzYtNjgzYy00YTY2LThjYWYtYzViMGJkZTI4Y2MyXkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Free Guy,2021,Action Adventure Comedy ,7.1,RyanReynolds JodieComer TaikaWaititi ,ShawnLevy,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.","https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Snow Valley,2024,Comedy Horror Thriller ,2.7,RachelMichikoWhitney CoopervanGrootel TomWilliamson ,BrandonMurphy,"A newly engaged couple's ski weekend goes horribly awry, when an unexpected guest arrives and the house's dark supernatural forces begin to rise.","https://m.media-amazon.com/images/M/MV5BNWEzMmRiYzYtMGRkNy00OThkLWFjYzctYzZhYmZhYzg3YTVhXkEyXkFqcGdeQXVyNTUwMjQzMjc@._V1_QL75_UY107_CR0,0,72,107_.jpg"
12 Angry Men,1957,Crime Drama ,9,HenryFonda LeeJ.Cobb MartinBalsam ,SidneyLumet,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Fast Times at Ridgemont High,1982,Comedy Drama ,7.1,SeanPenn JenniferJasonLeigh JudgeReinhold ,AmyHeckerling,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs and rock n' roll.","https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Bad Boys,1995,Action Comedy Crime ,6.8,WillSmith MartinLawrence LisaBoyle ,MichaelBay,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,"https://m.media-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Nightcrawler,2014,Crime Drama Thriller ,7.8,JakeGyllenhaal ReneRusso BillPaxton ,DanGilroy,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","https://m.media-amazon.com/images/M/MV5BN2U1YzdhYWMtZWUzMi00OWI1LWFkM2ItNWVjM2YxMGQ2MmNhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Lucas,1986,Comedy Drama Romance ,6.9,CoreyHaim KerriGreen CharlieSheen ,DavidSeltzer,"A socially inept fourteen-year-old experiences heartbreak for the first time when his two best friends - Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love - fall for each other.","https://m.media-amazon.com/images/M/MV5BYWJjMjRmNjYtMjIwYS00OTc0LTllNTAtODFjYzEwODc1OGMxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX72_CR0,2,72,107_.jpg"
Manchester by the Sea,2016,Drama ,7.8,CaseyAffleck MichelleWilliams KyleChandler ,KennethLonergan,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Notebook,2004,Drama Romance ,7.8,GenaRowlands JamesGarner RachelMcAdams ,NickCassavetes,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,"https://m.media-amazon.com/images/M/MV5BNzc3Mzg1OGYtZjc3My00Y2NhLTgyOWUtYjRhMmI4OTkwNDg4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Thundermans Return,2024,Action Comedy Crime ,5.1,KiraKosarin JackGriffo AddisonRiecke ,TrevorKirschner,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville.","https://m.media-amazon.com/images/M/MV5BZTg4ODVkYzYtNDFhZi00ZGU3LTgxY2UtM2VhMzNiYzY3NGMzXkEyXkFqcGdeQXVyNDY5MDU2MDQ@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Requiem for a Dream,2000,Drama ,8.3,EllenBurstyn JaredLeto JenniferConnelly ,DarrenAronofsky,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Sting,2024,Horror Thriller ,5.4,JermaineFowler AlylaBrowne RyanCorr ,KiahRoache-Turner,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the facts about her pet-and fight for her family's survival-when the once-charming creature rapidly transforms into a giant, flesh-eating monster.","https://m.media-amazon.com/images/M/MV5BZDQ4MWIxOGItZmE5ZS00NmZjLWFhZWMtMmM2NmZhNGQ0NjVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Black Phone,2021,Horror Mystery Thriller ,6.9,MasonThames MadeleineMcGraw EthanHawke ,ScottDerrickson,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.","https://m.media-amazon.com/images/M/MV5BMWQxOGJlNTUtYTc1YS00NDkyLWExZjItMTFiYWEzMjAzYTdjXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Someone Like You,2024,Romance ,6.7,SarahFisher JakeAllyn LynnCollins ,TylerRussell,"Based on the novel by #1 NYTimes bestselling author Karen Kingsbury, ""Someone Like You"" is an achingly beautiful love story. After the tragic loss of his best friend, a grieving young architect launches a search for her secret twin sister.","https://m.media-amazon.com/images/M/MV5BMTg5NjU1ZTMtZTY4ZC00NWQ5LTg3ZDQtNGNmOTNkODFkM2RhXkEyXkFqcGdeQXVyNjc5NzY4MDM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Jurassic World Dominion,2022,Action Adventure Sci-Fi ,5.6,ChrisPratt BryceDallasHoward LauraDern ,ColinTrevorrow,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.","https://m.media-amazon.com/images/M/MV5BOTBjMjA4NmYtN2RjMi00YWZlLTliYTktOTIwMmNkYjYxYmE1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR1,0,72,107_.jpg"
The Big Short,2015,Biography Comedy Drama ,7.8,ChristianBale SteveCarell RyanGosling ,AdamMcKay,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.","https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,3,72,107_.jpg"
Wish,2023,Animation Adventure Comedy ,5.6,ArianaDeBose ChrisPine AlanTudyk ,ChrisBuck,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,"https://m.media-amazon.com/images/M/MV5BYWQ4M2ZmODItNzZhYi00MzY1LTk2ZmItYTUwODI2NzJmN2JiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ex Machina,2015,Drama Sci-Fi Thriller ,7.7,AliciaVikander DomhnallGleeson OscarIsaac ,AlexGarland,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,"https://m.media-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Deadpool 2,2018,Action Adventure Comedy ,7.6,RyanReynolds JoshBrolin MorenaBaccarin ,DavidLeitch,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","https://m.media-amazon.com/images/M/MV5BNmM4MWFlNGEtYjJjMC00ZGRlLWE5ZDMtZDRmODQ1ZTkxZjMwXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX72_CR0,0,72,107_.jpg"
Noah,2014,Action Adventure Drama ,5.8,RussellCrowe JenniferConnelly AnthonyHopkins ,DarrenAronofsky,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"https://m.media-amazon.com/images/M/MV5BMjI2OTgyNTc0Ml5BMl5BanBnXkFtZTgwNDM1NTQxMTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Point Break,1991,Action Crime Thriller ,7.3,PatrickSwayze KeanuReeves GaryBusey ,KathrynBigelow,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,"https://m.media-amazon.com/images/M/MV5BNWVjZWFmYjItZGJlOC00YTllLWE4YjctMWY2ZTg5ZjE0MDIyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Shooter,2007,Action Drama Thriller ,7.1,MarkWahlberg MichaelPeña RhonaMitra ,AntoineFuqua,"A marksman living in exile is coaxed back into action after hearing of a plot to kill the President. After being-double crossed for the attempt and on the run, he sets out for the real killer and the truth.","https://m.media-amazon.com/images/M/MV5BMGRjMzY0OGItNDc4YS00OGNlLWI3MGYtZjRkNjdiNWUyNDY4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
X-Men,2000,Action Adventure Sci-Fi ,7.3,PatrickStewart HughJackman IanMcKellen ,BryanSinger,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","https://m.media-amazon.com/images/M/MV5BZmIyMDk5NGYtYjQ5NS00ZWQxLTg2YzQtZDk1ZmM4ZDBlN2E3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Memento,2000,Mystery Thriller ,8.4,GuyPearce Carrie-AnneMoss JoePantoliano ,ChristopherNolan,A man with short-term memory loss attempts to track down his wife's murderer.,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Hereditary,2018,Drama Horror Mystery ,7.3,ToniCollette MillyShapiro GabrielByrne ,AriAster,A grieving family is haunted by tragic and disturbing occurrences.,"https://m.media-amazon.com/images/M/MV5BOTU5MDg3OGItZWQ1Ny00ZGVmLTg2YTUtMzBkYzQ1YWIwZjlhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Redeeming Love,2022,Drama Romance Western ,6.7,AbigailCowen TomLewis EricDane ,D.J.Caruso,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.","https://m.media-amazon.com/images/M/MV5BMjRkZGQzNzctYjliYS00ZTY2LTg5MWMtODlmZTk2ODM0ZDE0XkEyXkFqcGdeQXVyODEzOTY2ODE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Fury,2014,Action Drama War ,7.6,BradPitt ShiaLaBeouf LoganLerman ,DavidAyer,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","https://m.media-amazon.com/images/M/MV5BMjA4MDU0NTUyN15BMl5BanBnXkFtZTgwMzQxMzY4MjE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
"Crazy, Stupid, Love.",2011,Comedy Drama Romance ,7.4,SteveCarell RyanGosling JulianneMoore ,GlennFicarra,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
School of Rock,2003,Comedy Music ,7.2,JackBlack MikeWhite JoanCusack ,RichardLinklater,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.","https://m.media-amazon.com/images/M/MV5BOTg2NDU4Mjg2NV5BMl5BanBnXkFtZTgwNjQ0MDIyMDI@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Alien: Covenant,2017,Horror Sci-Fi Thriller ,6.4,MichaelFassbender KatherineWaterston BillyCrudup ,RidleyScott,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","https://m.media-amazon.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Knives Out,2019,Comedy Crime Drama ,7.9,DanielCraig ChrisEvans AnadeArmas ,RianJohnson,"A detective investigates the death of the patriarch of an eccentric, combative family.","https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Kung Fu Panda 2,2011,Animation Action Adventure ,7.3,JackBlack AngelinaJolie JackieChan ,JenniferYuhNelson,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.","https://m.media-amazon.com/images/M/MV5BYzQ0ZWIxZjAtYWI3Yy00MGM0LWFjOGYtNzcyYThiOTA3ODI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Reptile,2023,Crime Drama Mystery ,6.8,BenicioDelToro JustinTimberlake EricBogosian ,GrantSinger,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.","https://m.media-amazon.com/images/M/MV5BMTA0MmNhNzUtZjVhNC00MmM5LWExYzYtZmQ0ZWEwZTIxMGExXkEyXkFqcGdeQXVyODMyNDEyNjM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Cars,2006,Animation Adventure Comedy ,7.2,OwenWilson BonnieHunt PaulNewman ,JohnLasseter,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.","https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Bikeriders,2023,Crime Drama ,7.6,JodieComer AustinButler TomHardy ,JeffNichols,"Follows the rise of midwestern motorcycle club, the Vandals. Seen through the lives of its members, the club evolves from a place for local outsiders into a more sinister gang, threatening the original group's way of life.","https://m.media-amazon.com/images/M/MV5BN2Q0ZDU4NGUtMjM1Mi00MzQ2LTljMGEtODFhYThiMWRkOTQyXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Elvis,2022,Biography Drama Music ,7.3,TomHanks AustinButler OliviaDeJonge ,BazLuhrmann,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.","https://m.media-amazon.com/images/M/MV5BYzMzNTJjYmMtZTkxNS00MjI4LWI3YmQtOTQ4MDZjZDJlZjQyXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Beverly Hills Cop,1984,Action Comedy Crime ,7.4,EddieMurphy JudgeReinhold JohnAshton ,MartinBrest,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,"https://m.media-amazon.com/images/M/MV5BNzU1M2QxMzgtZmJiYy00Zjc4LTg3YTMtZTBmZmNhMDMxZmU2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Vault,2021,Action Thriller ,6.4,FreddieHighmore AstridBergès-Frisbey SamRiley ,JaumeBalagueró,Follows a genius engineering graduate who is interested in the Bank of Spain's safe.,"https://m.media-amazon.com/images/M/MV5BZTliM2M5MjktZmY2NC00NjdlLWE5YzUtNDU2NzA0MzkyMDNlXkEyXkFqcGdeQXVyMTE1Nzg4NjY0._V1_QL75_UX72_CR0,1,72,107_.jpg"
Dungeons & Dragons: Honor Among Thieves,2023,Action Adventure Comedy ,7.2,ChrisPine MichelleRodriguez Regé-JeanPage ,JohnFrancisDaley,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","https://m.media-amazon.com/images/M/MV5BZWM5MTQ3NDMtNGFiMS00Y2E5LWE2ZTUtNzM5MTcyZjM3ODRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
A Simple Favor,2018,Comedy Crime Mystery ,6.8,AnnaKendrick BlakeLively HenryGolding ,PaulFeig,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","https://m.media-amazon.com/images/M/MV5BZjFiMGNiNmItMzNiNi00Mjc1LTg1N2YtNWE2NTE5N2VlZTQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Harry Potter and the Goblet of Fire,2005,Adventure Family Fantasy ,7.7,DanielRadcliffe EmmaWatson RupertGrint ,MikeNewell,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Taxi Driver,1976,Crime Drama ,8.2,RobertDeNiro JodieFoster CybillShepherd ,MartinScorsese,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Talented Mr. Ripley,1999,Crime Drama Thriller ,7.4,MattDamon GwynethPaltrow JudeLaw ,AnthonyMinghella,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.","https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Apocalypse Now,1979,Drama Mystery War ,8.4,MartinSheen MarlonBrando RobertDuvall ,FrancisFordCoppola,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Tombstone,1993,Biography Drama History ,7.8,KurtRussell ValKilmer SamElliott ,GeorgeP.Cosmatos,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","https://m.media-amazon.com/images/M/MV5BODRkYzA4MGItODE2MC00ZjkwLWI2NDEtYzU1NzFiZGU1YzA0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Killer,2023,Action Adventure Crime ,6.7,MichaelFassbender TildaSwinton CharlesParnell ,DavidFincher,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.","https://m.media-amazon.com/images/M/MV5BZGJkMDUwZWQtYTMzMS00NTg5LWE1ZTYtOTVhMDI4NGI1YjMyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Star Wars: Episode IV - A New Hope,1977,Action Adventure Fantasy ,8.6,MarkHamill HarrisonFord CarrieFisher ,GeorgeLucas,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX72_CR0,2,72,107_.jpg"
The Greatest Showman,2017,Biography Drama Musical ,7.5,HughJackman MichelleWilliams ZacEfron ,MichaelGracey,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Hangover,2009,Comedy ,7.7,ZachGalifianakis BradleyCooper JustinBartha ,ToddPhillips,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.","https://m.media-amazon.com/images/M/MV5BNGQwZjg5YmYtY2VkNC00NzliLTljYTctNzI5NmU3MjE2ODQzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Don't Look Up,2021,Comedy Drama Sci-Fi ,7.2,LeonardoDiCaprio JenniferLawrence MerylStreep ,AdamMcKay,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"https://m.media-amazon.com/images/M/MV5BZjcwZjY3NjAtNzkxZS00NmFjLTg1OGYtODJmMThhY2UwMTc5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Evil Under the Sun,1982,Crime Drama Mystery ,7,PeterUstinov JamesMason MaggieSmith ,GuyHamilton,"Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi.","https://m.media-amazon.com/images/M/MV5BMmQ1ODM2ZmQtZmQwNy00OWZkLWFhMWEtZGZkNjUyNDVlOGI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Kick-Ass,2010,Action Comedy Crime ,7.6,AaronTaylor-Johnson NicolasCage ChloëGraceMoretz ,MatthewVaughn,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Easy A,2010,Comedy Drama Romance ,7,EmmaStone AmandaBynes PennBadgley ,WillGluck,"When Olive lies to her best friend about losing her virginity to one of the college boys, a girl overhears their conversation. Soon, her story spreads across the entire school like wildfire.","https://m.media-amazon.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Eddington,Comedy,,,,,Plot is under wraps.,"https://m.media-amazon.com/images/M/MV5BMjIwZGY3NzktNmQxMy00NGViLWJhNWEtYWU0ODVkMGYzMjk0XkEyXkFqcGdeQXVyMTI5MzI0MDQy._V1_QL75_UY107_CR16,0,72,107_.jpg"
Ready Player One,2018,Action Adventure Sci-Fi ,7.4,TyeSheridan OliviaCooke BenMendelsohn ,StevenSpielberg,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.","https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Scarface,1983,Crime Drama ,8.3,AlPacino MichellePfeiffer StevenBauer ,BrianDePalma,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
